trip_id,stop_id,trip_date,arrival_delay,route_id,sch_arrival_time,sch_departure_time,stop_sequence,stop_name,stop_lat,stop_lon,arrival_time,departure_delay,departure_time
13276154,55,11-28-2022,-172,6612,1669653900,1669653900,23,Eastbound W 16 Ave @ Carnarvon St,49.257583,-123.17185,1669653728,-172,1669653728
13276219,106,11-28-2022,-138,6612,1669684937,1669684937,12,Westbound Cornwall Ave @ Trafalgar St,49.272799,-123.164636,1669684799,-138,1669684799
13276215,55,12-05-2022,-179,6612,1670286660,1670286660,23,Eastbound W 16 Ave @ Carnarvon St,49.257583,-123.17185,1670286481,-179,1670286481
13276171,112,12-06-2022,-133,6612,1670348311,1670348311,18,Southbound Macdonald St @ W 13 Ave,49.260226,-123.168421,1670348178,-133,1670348178
13276215,55,11-23-2022,-139,6612,1669249860,1669249860,23,Eastbound W 16 Ave @ Carnarvon St,49.257583,-123.17185,1669249721,-139,1669249721
13276219,107,11-28-2022,-174,6612,1669685033,1669685033,13,Southbound Macdonald St @ W 1st Ave,49.270753,-123.168323,1669684859,-174,1669684859
13276215,55,11-24-2022,-195,6612,1669336260,1669336260,23,Eastbound W 16 Ave @ Carnarvon St,49.257583,-123.17185,1669336065,-195,1669336065
13276171,112,11-28-2022,-137,6612,1669657111,1669657111,18,Southbound Macdonald St @ W 13 Ave,49.260226,-123.168421,1669656974,-137,1669656974
13276170,116,11-30-2022,-140,6612,1669847411,1669847411,21,Westbound W 16 Ave @ Balaclava St,49.257904,-123.17458,1669847271,-140,1669847271
13276170,116,11-30-2022,-140,6612,1669847411,1669847411,21,Westbound W 16 Ave @ Balaclava St,49.257904,-123.17458,1669847271,-140,1669847271
13276215,55,11-29-2022,-117,6612,1669768260,1669768260,23,Eastbound W 16 Ave @ Carnarvon St,49.257583,-123.17185,1669768143,-117,1669768143
13276215,55,11-28-2022,-147,6612,1669681860,1669681860,23,Eastbound W 16 Ave @ Carnarvon St,49.257583,-123.17185,1669681713,-147,1669681713
13276154,55,11-23-2022,-150,6612,1669221900,1669221900,23,Eastbound W 16 Ave @ Carnarvon St,49.257583,-123.17185,1669221750,-150,1669221750
13276171,112,11-24-2022,-187,6612,1669311511,1669311511,18,Southbound Macdonald St @ W 13 Ave,49.260226,-123.168421,1669311324,-187,1669311324
13276170,116,12-02-2022,-310,6612,1670020211,1670020211,21,Westbound W 16 Ave @ Balaclava St,49.257904,-123.17458,1670019901,-310,1670019901
13276171,112,12-07-2022,-151,6612,1670434711,1670434711,18,Southbound Macdonald St @ W 13 Ave,49.260226,-123.168421,1670434560,-151,1670434560
13276219,107,11-30-2022,-119,6612,1669857833,1669857833,13,Southbound Macdonald St @ W 1st Ave,49.270753,-123.168323,1669857714,-119,1669857714
13276154,55,11-24-2022,-137,6612,1669308300,1669308300,23,Eastbound W 16 Ave @ Carnarvon St,49.257583,-123.17185,1669308163,-137,1669308163
13276234,101,12-07-2022,-270,6612,1670468665,1670468665,8,Westbound Cornwall Ave @ Cypress St,49.272539,-123.148302,1670468395,-270,1670468395
13276171,112,11-29-2022,-117,6612,1669743511,1669743511,18,Southbound Macdonald St @ W 13 Ave,49.260226,-123.168421,1669743394,-117,1669743394
13276154,55,11-25-2022,-127,6612,1669394700,1669394700,23,Eastbound W 16 Ave @ Carnarvon St,49.257583,-123.17185,1669394573,-127,1669394573
13276215,55,12-06-2022,-166,6612,1670373060,1670373060,23,Eastbound W 16 Ave @ Carnarvon St,49.257583,-123.17185,1670372894,-166,1670372894
13276234,101,11-22-2022,-196,6612,1669172665,1669172665,8,Westbound Cornwall Ave @ Cypress St,49.272539,-123.148302,1669172469,-196,1669172469
13276154,55,11-29-2022,-123,6612,1669740300,1669740300,23,Eastbound W 16 Ave @ Carnarvon St,49.257583,-123.17185,1669740177,-123,1669740177
13276170,116,11-24-2022,-150,6612,1669329011,1669329011,21,Westbound W 16 Ave @ Balaclava St,49.257904,-123.17458,1669328861,-150,1669328861
